"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-03","2023","07","57.1112199272","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-04","2023","07","19.7612683416","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-05","2023","07","5.5345051083","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-06","2023","07","31.7876793712","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-07","2023","07","29.5987918326","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-08","2023","07","28.3945160521","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-10","2023","07","14.0096572604","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-09","2023","07","9.83138039","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-12","2023","07","76.6806496908","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-11","2023","07","38.0893300287","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-13","2023","07","63.5621534301","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-14","2023","07","29.2761690171","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-16","2023","07","1.7202811598","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-17","2023","07","1.1969585117","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-15","2023","07","8.2809460374","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-18","2023","07","6.4826107702","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-19","2023","07","2.0490311734","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-20","2023","07","1.7380191133","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-22","2023","07","5.1050221799","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-23","2023","07","7.1791245948","IMD GRID MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-07-21","2023","07","10.0983125444","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-01","2023","07","23.0282808416","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-02","2023","07","16.4022536301","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-03","2023","07","4.6154536931","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-04","2023","07","9.6027996439","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-05","2023","07","69.413267178","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-06","2023","07","26.5623872537","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-07","2023","07","4.3769171534","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-08","2023","07","3.5416974096","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-10","2023","07","2.3306346719","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-09","2023","07","1.8200737498","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-12","2023","07","0.3584046092","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-11","2023","07","5.47229083","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-13","2023","07","1.7073544042","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-14","2023","07","3.5579422293","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-16","2023","07","4.4143961748","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-17","2023","07","8.2498322145","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-15","2023","07","2.5957782442","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-18","2023","07","2.2034522728","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-19","2023","07","13.3953552577","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-20","2023","07","4.6211474012","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-22","2023","07","8.4985325807","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-23","2023","07","19.9261829004","IMD GRID MODEL"
"Barak and Others Basin","Naoch chara and others","2023-07-21","2023","07","12.0932788025","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-01","2023","07","16.1830828018","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-02","2023","07","30.3926555977","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-03","2023","07","18.8871377521","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-04","2023","07","18.2804631504","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-05","2023","07","8.650598568","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-06","2023","07","19.7260677224","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-07","2023","07","15.058878374","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-08","2023","07","21.2357357738","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-10","2023","07","15.6925602365","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-09","2023","07","12.9255980453","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-12","2023","07","29.0202500848","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-11","2023","07","12.3679003325","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-13","2023","07","31.0384027343","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-14","2023","07","21.4355064214","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-16","2023","07","4.2490476267","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-17","2023","07","11.1286966797","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-15","2023","07","8.7204329228","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-18","2023","07","4.5378464094","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-19","2023","07","0.4278698758","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-20","2023","07","0.6959555325","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-22","2023","07","4.712203136","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-23","2023","07","9.7263369137","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-07-21","2023","07","18.1786980781","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-07-01","2023","07","12.4773689002","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-07-02","2023","07","8.9955858906","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-07-03","2023","07","15.515707729","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-07-04","2023","07","10.0455368473","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-07-05","2023","07","8.8117020281","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-07-06","2023","07","20.7150714475","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-07-07","2023","07","30.3185290113","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-07-08","2023","07","18.3794973495","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-07-10","2023","07","9.2483931665","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-07-09","2023","07","17.5951534524","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-07-12","2023","07","28.8521721062","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-07-11","2023","07","21.521175721","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-07-13","2023","07","31.2912775127","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-07-14","2023","07","16.3925660463","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-07-16","2023","07","21.4881396469","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-07-17","2023","07","12.4509222732","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-07-15","2023","07","5.9256449206","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-07-18","2023","07","0.2634758873","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-07-19","2023","07","NA","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-07-20","2023","07","2.4441716501","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-07-22","2023","07","5.074907747","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-07-23","2023","07","8.9968297725","IMD GRID MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-07-21","2023","07","3.485675572","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-07-01","2023","07","2.5470359718","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-07-02","2023","07","0.8066990887","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-07-03","2023","07","1.0853876286","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-07-04","2023","07","1.9727938578","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-07-05","2023","07","1.6211420597","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-07-06","2023","07","17.7679558901","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-07-07","2023","07","10.850745483","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-07-08","2023","07","12.3822857967","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-07-09","2023","07","0.9284006221","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-07-10","2023","07","1.6199304026","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-07-11","2023","07","0.6571836448","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-07-12","2023","07","4.5927685357","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-07-13","2023","07","8.7214858136","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-07-14","2023","07","8.0508545719","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-07-15","2023","07","10.1915554503","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-07-16","2023","07","50.4824712008","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-07-17","2023","07","3.9478943765","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-07-18","2023","07","4.8183727688","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-07-19","2023","07","12.1898239742","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-07-20","2023","07","7.6026079717","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-07-21","2023","07","8.9044774069","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-07-22","2023","07","24.3074069595","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-07-23","2023","07","23.9037083869","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-07-01","2023","07","2.7913354605","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-07-02","2023","07","0.8100534829","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-07-03","2023","07","1.8661265801","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-07-04","2023","07","5.6164689232","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-07-05","2023","07","4.268613801","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-07-06","2023","07","13.925017951","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-07-07","2023","07","12.1253114712","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-07-08","2023","07","8.1851233883","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-07-09","2023","07","6.4330094412","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-07-10","2023","07","2.9745623278","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-07-11","2023","07","2.7381344539","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-07-12","2023","07","3.5717222085","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-07-13","2023","07","6.3695363303","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-07-14","2023","07","2.7814754852","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-07-15","2023","07","11.6335847612","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-07-16","2023","07","37.1607063376","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-07-17","2023","07","13.7068923909","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-07-18","2023","07","5.8737963286","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-07-19","2023","07","7.6749741064","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-07-20","2023","07","5.7233040523","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-07-21","2023","07","11.0204516462","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-07-22","2023","07","19.2952228215","IMD GRID MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-07-23","2023","07","11.3617180982","IMD GRID MODEL"
"Cauvery Basin","Cauvery Lower","2023-07-02","2023","07","1.6572295795","IMD GRID MODEL"
"Cauvery Basin","Cauvery Lower","2023-07-03","2023","07","0.988326562","IMD GRID MODEL"
"Cauvery Basin","Cauvery Lower","2023-07-04","2023","07","1.4353408076","IMD GRID MODEL"
"Cauvery Basin","Cauvery Lower","2023-07-05","2023","07","0.2484364929","IMD GRID MODEL"
"Cauvery Basin","Cauvery Lower","2023-07-06","2023","07","0.1498048805","IMD GRID MODEL"
"Cauvery Basin","Cauvery Lower","2023-07-07","2023","07","0.0457875878","IMD GRID MODEL"
"Cauvery Basin","Cauvery Lower","2023-07-08","2023","07","0.0261210822","IMD GRID MODEL"
"Cauvery Basin","Cauvery Lower","2023-07-09","2023","07","1.1733128316","IMD GRID MODEL"
"Cauvery Basin","Cauvery Lower","2023-07-10","2023","07","3.5681232694","IMD GRID MODEL"
"Cauvery Basin","Cauvery Lower","2023-07-11","2023","07","12.5732190123","IMD GRID MODEL"
"Cauvery Basin","Cauvery Lower","2023-07-13","2023","07","0.4428041116","IMD GRID MODEL"
"Cauvery Basin","Cauvery Lower","2023-07-12","2023","07","2.3512455642","IMD GRID MODEL"
"Cauvery Basin","Cauvery Lower","2023-07-15","2023","07","0.1775717794","IMD GRID MODEL"
"Cauvery Basin","Cauvery Lower","2023-07-14","2023","07","1.3644201091","IMD GRID MODEL"
"Cauvery Basin","Cauvery Lower","2023-07-16","2023","07","0.0008404886","IMD GRID MODEL"
"Cauvery Basin","Cauvery Lower","2023-07-17","2023","07","0.2083583281","IMD GRID MODEL"
"Cauvery Basin","Cauvery Lower","2023-07-20","2023","07","0.0395738123","IMD GRID MODEL"
"Cauvery Basin","Cauvery Lower","2023-07-18","2023","07","0.0162822771","IMD GRID MODEL"
"Cauvery Basin","Cauvery Lower","2023-07-19","2023","07","NA","IMD GRID MODEL"
"Cauvery Basin","Cauvery Lower","2023-07-21","2023","07","0.0087941805","IMD GRID MODEL"
"Cauvery Basin","Cauvery Lower","2023-07-22","2023","07","NA","IMD GRID MODEL"
"Cauvery Basin","Cauvery Lower","2023-07-23","2023","07","NA","IMD GRID MODEL"
"Cauvery Basin","Cauvery Lower","2023-07-01","2023","07","1.6348752272","IMD GRID MODEL"
"Cauvery Basin","Cauvery Middle","2023-07-02","2023","07","1.2436272414","IMD GRID MODEL"
"Cauvery Basin","Cauvery Middle","2023-07-03","2023","07","2.1859413581","IMD GRID MODEL"
"Cauvery Basin","Cauvery Middle","2023-07-04","2023","07","4.9074072788","IMD GRID MODEL"
"Cauvery Basin","Cauvery Middle","2023-07-05","2023","07","5.7050176197","IMD GRID MODEL"
"Cauvery Basin","Cauvery Middle","2023-07-06","2023","07","6.8842911737","IMD GRID MODEL"
"Cauvery Basin","Cauvery Middle","2023-07-07","2023","07","4.6460371345","IMD GRID MODEL"
"Cauvery Basin","Cauvery Middle","2023-07-08","2023","07","3.1568966145","IMD GRID MODEL"
"Cauvery Basin","Cauvery Middle","2023-07-09","2023","07","3.0351131585","IMD GRID MODEL"
"Cauvery Basin","Cauvery Middle","2023-07-10","2023","07","1.0856714321","IMD GRID MODEL"
"Cauvery Basin","Cauvery Middle","2023-07-11","2023","07","3.3337775227","IMD GRID MODEL"
"Cauvery Basin","Cauvery Middle","2023-07-13","2023","07","2.6949054851","IMD GRID MODEL"
"Cauvery Basin","Cauvery Middle","2023-07-12","2023","07","5.2941148705","IMD GRID MODEL"
"Cauvery Basin","Cauvery Middle","2023-07-15","2023","07","1.2519966072","IMD GRID MODEL"
"Cauvery Basin","Cauvery Middle","2023-07-14","2023","07","3.5705414524","IMD GRID MODEL"
"Cauvery Basin","Cauvery Middle","2023-07-16","2023","07","2.5225501809","IMD GRID MODEL"
"Cauvery Basin","Cauvery Middle","2023-07-17","2023","07","1.2710845238","IMD GRID MODEL"
"Cauvery Basin","Cauvery Middle","2023-07-20","2023","07","2.3173264389","IMD GRID MODEL"
"Cauvery Basin","Cauvery Middle","2023-07-18","2023","07","1.1348496383","IMD GRID MODEL"
"Cauvery Basin","Cauvery Middle","2023-07-19","2023","07","1.7098614513","IMD GRID MODEL"
